id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Iron Sky,The Forge,metal,intense,0.96,168,0.32,0.55,0.04
12,Porch Swing Sunset,Blue Ridge Boys,country,relaxed,0.44,92,0.78,0.63,0.80
13,Golden Hour Soul,Velvet James,r&b,happy,0.68,104,0.88,0.84,0.31
14,String Quartet No. 4,Vienna Collective,classical,relaxed,0.22,76,0.70,0.28,0.97
15,Drop It Low,Circuit Breaker,electronic,intense,0.89,140,0.61,0.92,0.06
16,Block Party Anthem,Kilo Verse,hip-hop,happy,0.80,98,0.82,0.90,0.12
17,Mountain Trail Song,Cedar Folk,folk,chill,0.33,84,0.74,0.50,0.88
18,Island Rhythm,Riddim Roots,reggae,happy,0.62,88,0.86,0.75,0.55
19,Neon Carousel,Dreamwave,synthwave,moody,0.70,112,0.45,0.76,0.19
20,Acoustic Confession,River & Stones,folk,sad,0.25,68,0.38,0.35,0.94
21,Pulse Check,Metro Grid,hip-hop,focused,0.77,102,0.63,0.85,0.14
22,Jazz in the Rain,Slow Stereo,jazz,moody,0.31,85,0.55,0.48,0.82
23,Last Train Home,Indigo Parade,indie pop,sad,0.55,116,0.42,0.65,0.48
24,Solar Flare,Voltline,rock,intense,0.88,144,0.50,0.70,0.08
